Year;RCP 2.6;RCP 2.6 10-90th Percentile Range (low);RCP 2.6 10-90th Percentile Range (high)
2008.00;0.04;0.02;0.05
2009.00;0.04;0.02;0.06
2010.00;0.04;0.03;0.07
2011.00;0.06;0.03;0.08
2012.00;0.06;0.04;0.08
2013.00;0.07;0.04;0.10
2014.00;0.08;0.05;0.11
2015.00;0.08;0.06;0.11
2016.00;0.09;0.05;0.11
2017.00;0.09;0.06;0.10
2018.00;0.09;0.07;0.11
2019.00;0.09;0.08;0.13
2020.00;0.09;0.08;0.12
2021.00;0.10;0.07;0.13
2022.00;0.11;0.08;0.15
2023.00;0.12;0.09;0.15
2024.00;0.11;0.09;0.14
2025.00;0.13;0.10;0.14
2026.00;0.13;0.11;0.17
2027.00;0.14;0.12;0.17
2028.00;0.15;0.13;0.18
2029.00;0.15;0.12;0.19
2030.00;0.15;0.13;0.18
2031.00;0.16;0.13;0.19
2032.00;0.17;0.14;0.19
2033.00;0.17;0.15;0.19
2034.00;0.18;0.15;0.20
2035.00;0.17;0.15;0.22
2036.00;0.18;0.16;0.23
2037.00;0.18;0.17;0.22
2038.00;0.19;0.17;0.23
2039.00;0.20;0.18;0.23
2040.00;0.21;0.18;0.24
2041.00;0.22;0.18;0.24
2042.00;0.23;0.20;0.24
2043.00;0.22;0.20;0.25
2044.00;0.22;0.20;0.24
2045.00;0.22;0.20;0.26
2046.00;0.24;0.21;0.26
2047.00;0.25;0.22;0.29
2048.00;0.25;0.22;0.29
2049.00;0.25;0.23;0.28
2050.00;0.26;0.22;0.30
2051.00;0.26;0.23;0.30
2052.00;0.27;0.25;0.31
2053.00;0.27;0.24;0.31
2054.00;0.27;0.24;0.32
2055.00;0.28;0.25;0.33
2056.00;0.29;0.25;0.34
2057.00;0.29;0.26;0.34
2058.00;0.30;0.27;0.35
2059.00;0.31;0.27;0.35
2060.00;0.31;0.27;0.36
2061.00;0.32;0.29;0.37
2062.00;0.33;0.30;0.38
2063.00;0.32;0.29;0.38
2064.00;0.33;0.29;0.37
2065.00;0.34;0.30;0.38
2066.00;0.33;0.30;0.39
2067.00;0.34;0.29;0.39
2068.00;0.35;0.30;0.40
2069.00;0.36;0.32;0.40
2070.00;0.36;0.31;0.41
2071.00;0.36;0.32;0.42
2072.00;0.36;0.33;0.40
2073.00;0.37;0.33;0.40
2074.00;0.38;0.34;0.44
2075.00;0.38;0.34;0.45
2076.00;0.39;0.34;0.46
2077.00;0.41;0.35;0.46
2078.00;0.40;0.35;0.45
2079.00;0.40;0.34;0.45
2080.00;0.41;0.36;0.47
2081.00;0.41;0.36;0.49
2082.00;0.41;0.36;0.50
2083.00;0.41;0.37;0.49
2084.00;0.42;0.38;0.50
2085.00;0.42;0.37;0.50
2086.00;0.43;0.38;0.49
2087.00;0.43;0.38;0.50
2088.00;0.43;0.39;0.51
2089.00;0.44;0.39;0.51
2090.00;0.46;0.40;0.53
2091.00;0.45;0.40;0.53
2092.00;0.46;0.41;0.54
2093.00;0.46;0.41;0.56
2094.00;0.46;0.41;0.56
2095.00;0.47;0.42;0.56
2096.00;0.47;0.42;0.57
2097.00;0.48;0.43;0.57
2098.00;0.49;0.43;0.58
2099.00;0.49;0.43;0.59
